source,target,weight
Patatanytarsus nr grimmi,Achnanthes linearis,0
Paucispinigera approximata,Achnanthes linearis,0
Polypedellum green type,Achnanthes linearis,0
Stenoperla prasinia,Achnanthes linearis,0
Stictoclcaius,Achnanthes linearis,0
Tanytarsus spp.,Achnanthes linearis,0
Tanytarsus verspertinus,Achnanthes linearis,0
Zelanoperla,Achnanthes linearis,0
Crayfish,Achnanthes linearis,0
Unidentified detritus,Achnanthes minutissima,0
Plant material,Achnanthes minutissima,0
Terrestrial invertebrates,Achnanthes minutissima,0
Achnanthes inflata,Achnanthes minutissima,0
Achnanthes lanceolata,Achnanthes minutissima,0
Achnanthes linearis,Achnanthes minutissima,0
Achnanthes minutissima,Achnanthes minutissima,0
Blue green algae,Achnanthes minutissima,0
Calothrix,Achnanthes minutissima,0
Cocconeis placentula,Achnanthes minutissima,0
Cymbella aspera,Achnanthes minutissima,0
Cymbella kappi,Achnanthes minutissima,0
Eunotia pectinalis,Achnanthes minutissima,0
Frustulia rhomboides,Achnanthes minutissima,0
Gomphoneis herculeana,Achnanthes minutissima,0
Gomphonema angustatum,Achnanthes minutissima,0
Gomphonema truncatum,Achnanthes minutissima,0
Melosira varians,Achnanthes minutissima,0
Navicula avenacea,Achnanthes minutissima,0
Pinnularia divergens,Achnanthes minutissima,0
Pinnularia gibba,Achnanthes minutissima,0
Pinnularia sp.,Achnanthes minutissima,0
Pinnularia viridis,Achnanthes minutissima,0
Rhoicosphenia curvata,Achnanthes minutissima,0
Surirella elegans,Achnanthes minutissima,0
Surirella striatula,Achnanthes minutissima,0
Synedra rumpens,Achnanthes minutissima,0
Tabellaria flocculosa,Achnanthes minutissima,0
Unknown green algal cells,Achnanthes minutissima,0
Ameletopsis perscitus,Achnanthes minutissima,0
Aspectrotanypus,Achnanthes minutissima,0
Austroperla cyrene,Achnanthes minutissima,0
Coloburiscus humeralis,Achnanthes minutissima,0
Cricotopus II,Achnanthes minutissima,0
Cristaperla,Achnanthes minutissima,0
Deleatidium,Achnanthes minutissima,0
Eriopterini,Achnanthes minutissima,0
Eukiefiriella,Achnanthes minutissima,0
Forcipomyiinae,Achnanthes minutissima,0
Hydora adult,Achnanthes minutissima,0
Hydora nitida l,Achnanthes minutissima,0
Hydrobiosella stenocerca,Achnanthes minutissima,0
Larsia sp.,Achnanthes minutissima,0
Naonella,Achnanthes minutissima,0
Oligochaeta I  ,Achnanthes minutissima,0
Oligochaeta II,Achnanthes minutissima,0
Oligochaeta lumbr blue,Achnanthes minutissima,0
Paracalliope fluviatalus,Achnanthes minutissima,0
Paralimnophila,Achnanthes minutissima,0
Patatanytarsus nr grimmi,Achnanthes minutissima,0
Paucispinigera approximata,Achnanthes minutissima,0
Polypedellum green type,Achnanthes minutissima,0
Stenoperla prasinia,Achnanthes minutissima,0
Stictoclcaius,Achnanthes minutissima,0
Tanytarsus spp.,Achnanthes minutissima,0
Tanytarsus verspertinus,Achnanthes minutissima,0
Zelanoperla,Achnanthes minutissima,0
Crayfish,Achnanthes minutissima,0
Unidentified detritus,Blue green algae,0
Plant material,Blue green algae,0
Terrestrial invertebrates,Blue green algae,0
Achnanthes inflata,Blue green algae,0
Achnanthes lanceolata,Blue green algae,0
Achnanthes linearis,Blue green algae,0
Achnanthes minutissima,Blue green algae,0
Blue green algae,Blue green algae,0
Calothrix,Blue green algae,0
Cocconeis placentula,Blue green algae,0
Cymbella aspera,Blue green algae,0
Cymbella kappi,Blue green algae,0
Eunotia pectinalis,Blue green algae,0
Frustulia rhomboides,Blue green algae,0
Gomphoneis herculeana,Blue green algae,0
Gomphonema angustatum,Blue green algae,0
Gomphonema truncatum,Blue green algae,0
Melosira varians,Blue green algae,0
Navicula avenacea,Blue green algae,0
Pinnularia divergens,Blue green algae,0
Pinnularia gibba,Blue green algae,0
Pinnularia sp.,Blue green algae,0
Pinnularia viridis,Blue green algae,0
Rhoicosphenia curvata,Blue green algae,0
Surirella elegans,Blue green algae,0
Surirella striatula,Blue green algae,0
Synedra rumpens,Blue green algae,0
Tabellaria flocculosa,Blue green algae,0
Unknown green algal cells,Blue green algae,0
Ameletopsis perscitus,Blue green algae,0
Aspectrotanypus,Blue green algae,0
Austroperla cyrene,Blue green algae,0
Coloburiscus humeralis,Blue green algae,0
Cricotopus II,Blue green algae,0
Cristaperla,Blue green algae,0
Deleatidium,Blue green algae,0
Eriopterini,Blue green algae,0
Eukiefiriella,Blue green algae,0
Forcipomyiinae,Blue green algae,0
Hydora adult,Blue green algae,0
Hydora nitida l,Blue green algae,0
Hydrobiosella stenocerca,Blue green algae,0
Larsia sp.,Blue green algae,0
Naonella,Blue green algae,0
Oligochaeta I  ,Blue green algae,0
Oligochaeta II,Blue green algae,0
Oligochaeta lumbr blue,Blue green algae,0
Paracalliope fluviatalus,Blue green algae,0
Paralimnophila,Blue green algae,0
Patatanytarsus nr grimmi,Blue green algae,0
Paucispinigera approximata,Blue green algae,0
Polypedellum green type,Blue green algae,0
Stenoperla prasinia,Blue green algae,0
Stictoclcaius,Blue green algae,0
Tanytarsus spp.,Blue green algae,0
Tanytarsus verspertinus,Blue green algae,0
Zelanoperla,Blue green algae,0
Crayfish,Blue green algae,0
Unidentified detritus,Calothrix,0
Plant material,Calothrix,0
Terrestrial invertebrates,Calothrix,0
Achnanthes inflata,Calothrix,0
Achnanthes lanceolata,Calothrix,0
Achnanthes linearis,Calothrix,0
Achnanthes minutissima,Calothrix,0
Blue green algae,Calothrix,0
Calothrix,Calothrix,0
Cocconeis placentula,Calothrix,0
Cymbella aspera,Calothrix,0
Cymbella kappi,Calothrix,0
Eunotia pectinalis,Calothrix,0
Frustulia rhomboides,Calothrix,0
Gomphoneis herculeana,Calothrix,0
Gomphonema angustatum,Calothrix,0
Gomphonema truncatum,Calothrix,0
Melosira varians,Calothrix,0
Navicula avenacea,Calothrix,0
Pinnularia divergens,Calothrix,0
Pinnularia gibba,Calothrix,0
Pinnularia sp.,Calothrix,0
Pinnularia viridis,Calothrix,0
Rhoicosphenia curvata,Calothrix,0
Surirella elegans,Calothrix,0
Surirella striatula,Calothrix,0
Synedra rumpens,Calothrix,0
Tabellaria flocculosa,Calothrix,0
Unknown green algal cells,Calothrix,0
Ameletopsis perscitus,Calothrix,0
Aspectrotanypus,Calothrix,0
Austroperla cyrene,Calothrix,0
Coloburiscus humeralis,Calothrix,0
Cricotopus II,Calothrix,0
Cristaperla,Calothrix,0
Deleatidium,Calothrix,0
Eriopterini,Calothrix,0
Eukiefiriella,Calothrix,0
Forcipomyiinae,Calothrix,0
Hydora adult,Calothrix,0
Hydora nitida l,Calothrix,0
Hydrobiosella stenocerca,Calothrix,0
Larsia sp.,Calothrix,0
Naonella,Calothrix,0
Oligochaeta I  ,Calothrix,0
Oligochaeta II,Calothrix,0
Oligochaeta lumbr blue,Calothrix,0
Paracalliope fluviatalus,Calothrix,0
Paralimnophila,Calothrix,0
Patatanytarsus nr grimmi,Calothrix,0
Paucispinigera approximata,Calothrix,0
Polypedellum green type,Calothrix,0
Stenoperla prasinia,Calothrix,0
Stictoclcaius,Calothrix,0
Tanytarsus spp.,Calothrix,0
Tanytarsus verspertinus,Calothrix,0
Zelanoperla,Calothrix,0
Crayfish,Calothrix,0
Unidentified detritus,Cocconeis placentula,0
Plant material,Cocconeis placentula,0
Terrestrial invertebrates,Cocconeis placentula,0
Achnanthes inflata,Cocconeis placentula,0
Achnanthes lanceolata,Cocconeis placentula,0
Achnanthes linearis,Cocconeis placentula,0
Achnanthes minutissima,Cocconeis placentula,0
Blue green algae,Cocconeis placentula,0
Calothrix,Cocconeis placentula,0
Cocconeis placentula,Cocconeis placentula,0
Cymbella aspera,Cocconeis placentula,0
Cymbella kappi,Cocconeis placentula,0
Eunotia pectinalis,Cocconeis placentula,0
Frustulia rhomboides,Cocconeis placentula,0
Gomphoneis herculeana,Cocconeis placentula,0
Gomphonema angustatum,Cocconeis placentula,0
Gomphonema truncatum,Cocconeis placentula,0
Melosira varians,Cocconeis placentula,0
Navicula avenacea,Cocconeis placentula,0
Pinnularia divergens,Cocconeis placentula,0
Pinnularia gibba,Cocconeis placentula,0
Pinnularia sp.,Cocconeis placentula,0
Pinnularia viridis,Cocconeis placentula,0
Rhoicosphenia curvata,Cocconeis placentula,0
Surirella elegans,Cocconeis placentula,0
Surirella striatula,Cocconeis placentula,0
Synedra rumpens,Cocconeis placentula,0
Tabellaria flocculosa,Cocconeis placentula,0
Unknown green algal cells,Cocconeis placentula,0
Ameletopsis perscitus,Cocconeis placentula,0
