source,target,weight
Cymbella mulleri,Achnanthes inflata,0
Diatoma heimale,Achnanthes inflata,0
Epithemia sorex,Achnanthes inflata,0
Eunotia pectinalis,Achnanthes inflata,0
Fragilaria vaucheriae,Achnanthes inflata,0
Frustulia rhomboides,Achnanthes inflata,0
Gomphoneis herculeana,Achnanthes inflata,0
Gomphonema accuminatum,Achnanthes inflata,0
Gomphonema angustatum,Achnanthes inflata,0
Gomphonema intricatum,Achnanthes inflata,0
Gomphonema parvulum,Achnanthes inflata,0
Gomphonema sp. III,Achnanthes inflata,0
Gomphonema sp. unk,Achnanthes inflata,0
Gomphonema truncatum,Achnanthes inflata,0
Green algae,Achnanthes inflata,0
Gyrosigma,Achnanthes inflata,0
Melosira varians,Achnanthes inflata,0
Navicula avenacea,Achnanthes inflata,0
Navicula rhynocephala,Achnanthes inflata,0
Nitzschia dissipata,Achnanthes inflata,0
Nitzschia dubia,Achnanthes inflata,0
Nitzschia linearis,Achnanthes inflata,0
Pinnularia spp.,Achnanthes inflata,0
Rhoicosphenia curvata,Achnanthes inflata,0
Staurostratum,Achnanthes inflata,0
Surirella elegans,Achnanthes inflata,0
Synedra ulna,Achnanthes inflata,0
Tabellaria flocculosa,Achnanthes inflata,0
Ulothrix,Achnanthes inflata,0
Ameletopsis perscitus,Achnanthes inflata,0
Aoteapsyche,Achnanthes inflata,0
Austroperla cyrene,Achnanthes inflata,0
Austrosimulium,Achnanthes inflata,0
Chironomini,Achnanthes inflata,0
Coloburiscus,Achnanthes inflata,0
Costachorema,Achnanthes inflata,0
Cricotopus sp I,Achnanthes inflata,0
Cricotopus sp II,Achnanthes inflata,0
Cristaperla,Achnanthes inflata,0
Deleatidium,Achnanthes inflata,0
Eriopterini,Achnanthes inflata,0
Eye forward chiron,Achnanthes inflata,0
Helicopsyche,Achnanthes inflata,0
Hudsonema aliena,Achnanthes inflata,0
Hudsonema amabilis,Achnanthes inflata,0
Hydora nitida (ad),Achnanthes inflata,0
Hydora nitida (l),Achnanthes inflata,0
Hydrobiosella stenocerca,Achnanthes inflata,0
Hydrobiosis parumbripennis,Achnanthes inflata,0
Mischoderus,Achnanthes inflata,0
Nannochorista phillpotti,Achnanthes inflata,0
Neozephlebia scita,Achnanthes inflata,0
Oligo II,Achnanthes inflata,0
Oligo Lumbri pink,Achnanthes inflata,0
Oligo skinny,Achnanthes inflata,0
Paracalliope fluviatalus,Achnanthes inflata,0
Paracalliope pale,Achnanthes inflata,0
Paralimnophila skuseii,Achnanthes inflata,0
Paucispinigera approximata,Achnanthes inflata,0
Polypedellum,Achnanthes inflata,0
Polypedellum II,Achnanthes inflata,0
Polyplectropus,Achnanthes inflata,0
Scirtid,Achnanthes inflata,0
Sphaerid,Achnanthes inflata,0
Stenoperla prasinia,Achnanthes inflata,0
Stictocladius,Achnanthes inflata,0
Zelandobius,Achnanthes inflata,0
Zelandoperla,Achnanthes inflata,0
Zelandotipula,Achnanthes inflata,0
