source,target,weight
Richardsonius balteatus,Monobothrium,0
Salmo gairdneri,Monobothrium,0
Salvelinus malma,Monobothrium,0
Salvelinus namaycush,Monobothrium,0
Thymallus arcticus,Monobothrium,0
Host species,Proteocephalus,21
Catostomus catostomus,Proteocephalus,0
Catostomus commersoni,Proteocephalus,0
Catostomus macrocheilus,Proteocephalus,0
Coregonus clupeaformis,Proteocephalus,0
Cottus cognatus,Proteocephalus,0
Lota lota,Proteocephalus,0
Mylocheilus caurinus,Proteocephalus,0
Oncorhynchus nerka,Proteocephalus,0
Prosopium coulteri,Proteocephalus,0
Prosopium williamsoni,Proteocephalus,0
Ptychocheilus oregonensis,Proteocephalus,60.6
Rhinichthys cataractae,Proteocephalus,0
Richardsonius balteatus,Proteocephalus,0
Salmo gairdneri,Proteocephalus,0
Salvelinus malma,Proteocephalus,0
Salvelinus namaycush,Proteocephalus,0
Thymallus arcticus,Proteocephalus,0
Host species,Proteocephalus.1,22
Catostomus catostomus,Proteocephalus.1,0
Catostomus commersoni,Proteocephalus.1,0
Catostomus macrocheilus,Proteocephalus.1,0
Coregonus clupeaformis,Proteocephalus.1,0
Cottus cognatus,Proteocephalus.1,0
Lota lota,Proteocephalus.1,0
Mylocheilus caurinus,Proteocephalus.1,0
Oncorhynchus nerka,Proteocephalus.1,0
Prosopium coulteri,Proteocephalus.1,0
Prosopium williamsoni,Proteocephalus.1,0
Ptychocheilus oregonensis,Proteocephalus.1,0
Rhinichthys cataractae,Proteocephalus.1,0
Richardsonius balteatus,Proteocephalus.1,0
Salmo gairdneri,Proteocephalus.1,0
Salvelinus malma,Proteocephalus.1,5.9
Salvelinus namaycush,Proteocephalus.1,0
Thymallus arcticus,Proteocephalus.1,0
Host species,Proteocephalus.2,23
Catostomus catostomus,Proteocephalus.2,0
Catostomus commersoni,Proteocephalus.2,0
Catostomus macrocheilus,Proteocephalus.2,0
Coregonus clupeaformis,Proteocephalus.2,2.3
Cottus cognatus,Proteocephalus.2,0
Lota lota,Proteocephalus.2,0
Mylocheilus caurinus,Proteocephalus.2,0
Oncorhynchus nerka,Proteocephalus.2,5.8
Prosopium coulteri,Proteocephalus.2,0
Prosopium williamsoni,Proteocephalus.2,5.2
Ptychocheilus oregonensis,Proteocephalus.2,0
Rhinichthys cataractae,Proteocephalus.2,0
Richardsonius balteatus,Proteocephalus.2,0
Salmo gairdneri,Proteocephalus.2,0
Salvelinus malma,Proteocephalus.2,4
Salvelinus namaycush,Proteocephalus.2,0
Thymallus arcticus,Proteocephalus.2,0
Host species,Proteocephalus.3,24
Catostomus catostomus,Proteocephalus.3,0
Catostomus commersoni,Proteocephalus.3,0
Catostomus macrocheilus,Proteocephalus.3,0
Coregonus clupeaformis,Proteocephalus.3,0
Cottus cognatus,Proteocephalus.3,0
Lota lota,Proteocephalus.3,0
Mylocheilus caurinus,Proteocephalus.3,0
Oncorhynchus nerka,Proteocephalus.3,0
Prosopium coulteri,Proteocephalus.3,0
Prosopium williamsoni,Proteocephalus.3,0
Ptychocheilus oregonensis,Proteocephalus.3,0
Rhinichthys cataractae,Proteocephalus.3,0
Richardsonius balteatus,Proteocephalus.3,0
Salmo gairdneri,Proteocephalus.3,17
Salvelinus malma,Proteocephalus.3,0
Salvelinus namaycush,Proteocephalus.3,0
Thymallus arcticus,Proteocephalus.3,0
Host species,Bothriocephalus,25
Catostomus catostomus,Bothriocephalus,0
Catostomus commersoni,Bothriocephalus,0
Catostomus macrocheilus,Bothriocephalus,0
Coregonus clupeaformis,Bothriocephalus,0
Cottus cognatus,Bothriocephalus,0
Lota lota,Bothriocephalus,0
Mylocheilus caurinus,Bothriocephalus,14.3
Oncorhynchus nerka,Bothriocephalus,0
Prosopium coulteri,Bothriocephalus,0
Prosopium williamsoni,Bothriocephalus,0
Ptychocheilus oregonensis,Bothriocephalus,48.5
Rhinichthys cataractae,Bothriocephalus,0
Richardsonius balteatus,Bothriocephalus,0
Salmo gairdneri,Bothriocephalus,0
Salvelinus malma,Bothriocephalus,0
Salvelinus namaycush,Bothriocephalus,0
Thymallus arcticus,Bothriocephalus,0
Host species,Diphyllobothrium,26
Catostomus catostomus,Diphyllobothrium,0
Catostomus commersoni,Diphyllobothrium,0
Catostomus macrocheilus,Diphyllobothrium,0
Coregonus clupeaformis,Diphyllobothrium,11.6
Cottus cognatus,Diphyllobothrium,0
Lota lota,Diphyllobothrium,0
Mylocheilus caurinus,Diphyllobothrium,0
Oncorhynchus nerka,Diphyllobothrium,71.1
Prosopium coulteri,Diphyllobothrium,0
Prosopium williamsoni,Diphyllobothrium,3.3
