source,target,weight
Esox lucius,Cleidodiscus.4,0
Carpiodes cyprinus,Cleidodiscus.4,0
Catostomus commersoni,Cleidodiscus.4,0
Moxostoma anisurum,Cleidodiscus.4,0
Chrosomus neogaeus,Cleidodiscus.4,0
Couesius plumbeus,Cleidodiscus.4,0
Notropis anogenus,Cleidodiscus.4,0
Notropis atherinoides,Cleidodiscus.4,0
Notropis hudsonius,Cleidodiscus.4,0
Pimephales notatus,Cleidodiscus.4,0
Pimephales promelas,Cleidodiscus.4,0
Semotilus margarita,Cleidodiscus.4,0
Ictalurus nebulosus,Cleidodiscus.4,0
Noturus gyrinus,Cleidodiscus.4,0
Lota lota,Cleidodiscus.4,0
Culaea inconstans,Cleidodiscus.4,0
Percopsis omiscomaycus,Cleidodiscus.4,0
Ambloplites rupestris,Cleidodiscus.4,0
Lepomis gibbosus,Cleidodiscus.4,0
Micropterus dolomieui,Cleidodiscus.4,0
Pomoxis nigromaculatus,Cleidodiscus.4,20
Perca flavescens,Cleidodiscus.4,0
Stizostedion canadense,Cleidodiscus.4,0
Stizostedion vitreum,Cleidodiscus.4,0
Etheostoma exile,Cleidodiscus.4,0
Etheostoma nigrum,Cleidodiscus.4,0
Percina caprodes,Cleidodiscus.4,0
Cottus bairdi,Cleidodiscus.4,0
Host species,Cleidodiscus.5,9
Salvelinus namaycush,Cleidodiscus.5,0
Coregonus clupeaformis,Cleidodiscus.5,0
Coregonus artedii,Cleidodiscus.5,0
Esox lucius,Cleidodiscus.5,0
Carpiodes cyprinus,Cleidodiscus.5,0
Catostomus commersoni,Cleidodiscus.5,0
Moxostoma anisurum,Cleidodiscus.5,0
Chrosomus neogaeus,Cleidodiscus.5,0
Couesius plumbeus,Cleidodiscus.5,0
Notropis anogenus,Cleidodiscus.5,0
Notropis atherinoides,Cleidodiscus.5,0
Notropis hudsonius,Cleidodiscus.5,0
Pimephales notatus,Cleidodiscus.5,0
Pimephales promelas,Cleidodiscus.5,0
Semotilus margarita,Cleidodiscus.5,0
Ictalurus nebulosus,Cleidodiscus.5,0
Noturus gyrinus,Cleidodiscus.5,0
Lota lota,Cleidodiscus.5,0
Culaea inconstans,Cleidodiscus.5,0
Percopsis omiscomaycus,Cleidodiscus.5,0
Ambloplites rupestris,Cleidodiscus.5,0
Lepomis gibbosus,Cleidodiscus.5,0
Micropterus dolomieui,Cleidodiscus.5,0
Pomoxis nigromaculatus,Cleidodiscus.5,0
Perca flavescens,Cleidodiscus.5,0
Stizostedion canadense,Cleidodiscus.5,0
Stizostedion vitreum,Cleidodiscus.5,0
Etheostoma exile,Cleidodiscus.5,0
Etheostoma nigrum,Cleidodiscus.5,0
Percina caprodes,Cleidodiscus.5,42.9
Cottus bairdi,Cleidodiscus.5,0
Host species,Cleidodiscus.6,10
Salvelinus namaycush,Cleidodiscus.6,0
Coregonus clupeaformis,Cleidodiscus.6,0
Coregonus artedii,Cleidodiscus.6,0
Esox lucius,Cleidodiscus.6,0
Carpiodes cyprinus,Cleidodiscus.6,0
Catostomus commersoni,Cleidodiscus.6,0
Moxostoma anisurum,Cleidodiscus.6,0
Chrosomus neogaeus,Cleidodiscus.6,0
Couesius plumbeus,Cleidodiscus.6,0
Notropis anogenus,Cleidodiscus.6,0
Notropis atherinoides,Cleidodiscus.6,0
Notropis hudsonius,Cleidodiscus.6,0
Pimephales notatus,Cleidodiscus.6,0
Pimephales promelas,Cleidodiscus.6,0
Semotilus margarita,Cleidodiscus.6,0
Ictalurus nebulosus,Cleidodiscus.6,100
Noturus gyrinus,Cleidodiscus.6,0
Lota lota,Cleidodiscus.6,0
Culaea inconstans,Cleidodiscus.6,0
Percopsis omiscomaycus,Cleidodiscus.6,0
Ambloplites rupestris,Cleidodiscus.6,0
Lepomis gibbosus,Cleidodiscus.6,0
Micropterus dolomieui,Cleidodiscus.6,0
Pomoxis nigromaculatus,Cleidodiscus.6,0
Perca flavescens,Cleidodiscus.6,0
Stizostedion canadense,Cleidodiscus.6,0
Stizostedion vitreum,Cleidodiscus.6,0
Etheostoma exile,Cleidodiscus.6,0
Etheostoma nigrum,Cleidodiscus.6,0
Percina caprodes,Cleidodiscus.6,0
Cottus bairdi,Cleidodiscus.6,0
Host species,Dactylogyrus,11
Salvelinus namaycush,Dactylogyrus,0
Coregonus clupeaformis,Dactylogyrus,0
Coregonus artedii,Dactylogyrus,0
Esox lucius,Dactylogyrus,0
Carpiodes cyprinus,Dactylogyrus,0
Catostomus commersoni,Dactylogyrus,0
Moxostoma anisurum,Dactylogyrus,0
Chrosomus neogaeus,Dactylogyrus,0
Couesius plumbeus,Dactylogyrus,0
Notropis anogenus,Dactylogyrus,0
Notropis atherinoides,Dactylogyrus,0
Notropis hudsonius,Dactylogyrus,0
Pimephales notatus,Dactylogyrus,45
Pimephales promelas,Dactylogyrus,0
Semotilus margarita,Dactylogyrus,0
Ictalurus nebulosus,Dactylogyrus,0
Noturus gyrinus,Dactylogyrus,0
Lota lota,Dactylogyrus,0
Culaea inconstans,Dactylogyrus,0
Percopsis omiscomaycus,Dactylogyrus,0
Ambloplites rupestris,Dactylogyrus,0
Lepomis gibbosus,Dactylogyrus,0
Micropterus dolomieui,Dactylogyrus,0
Pomoxis nigromaculatus,Dactylogyrus,0
Perca flavescens,Dactylogyrus,0
Stizostedion canadense,Dactylogyrus,0
Stizostedion vitreum,Dactylogyrus,0
Etheostoma exile,Dactylogyrus,0
Etheostoma nigrum,Dactylogyrus,0
Percina caprodes,Dactylogyrus,0
Cottus bairdi,Dactylogyrus,0
Host species,Dactylogyrus.1,12
Salvelinus namaycush,Dactylogyrus.1,0
Coregonus clupeaformis,Dactylogyrus.1,0
Coregonus artedii,Dactylogyrus.1,0
Esox lucius,Dactylogyrus.1,0
Carpiodes cyprinus,Dactylogyrus.1,0
Catostomus commersoni,Dactylogyrus.1,0
Moxostoma anisurum,Dactylogyrus.1,0
Chrosomus neogaeus,Dactylogyrus.1,0
Couesius plumbeus,Dactylogyrus.1,0
Notropis anogenus,Dactylogyrus.1,0
Notropis atherinoides,Dactylogyrus.1,0
Notropis hudsonius,Dactylogyrus.1,0
Pimephales notatus,Dactylogyrus.1,0
Pimephales promelas,Dactylogyrus.1,0
Semotilus margarita,Dactylogyrus.1,0
Ictalurus nebulosus,Dactylogyrus.1,0
Noturus gyrinus,Dactylogyrus.1,0
Lota lota,Dactylogyrus.1,0
Culaea inconstans,Dactylogyrus.1,35.3
Percopsis omiscomaycus,Dactylogyrus.1,0
Ambloplites rupestris,Dactylogyrus.1,0
Lepomis gibbosus,Dactylogyrus.1,0
Micropterus dolomieui,Dactylogyrus.1,0
Pomoxis nigromaculatus,Dactylogyrus.1,0
Perca flavescens,Dactylogyrus.1,0
Stizostedion canadense,Dactylogyrus.1,0
Stizostedion vitreum,Dactylogyrus.1,0
Etheostoma exile,Dactylogyrus.1,0
Etheostoma nigrum,Dactylogyrus.1,0
Percina caprodes,Dactylogyrus.1,0
Cottus bairdi,Dactylogyrus.1,0
Host species,Dactylogyrus.2,13
Salvelinus namaycush,Dactylogyrus.2,0
Coregonus clupeaformis,Dactylogyrus.2,0
Coregonus artedii,Dactylogyrus.2,0
Esox lucius,Dactylogyrus.2,0
Carpiodes cyprinus,Dactylogyrus.2,0
Catostomus commersoni,Dactylogyrus.2,0
Moxostoma anisurum,Dactylogyrus.2,0
Chrosomus neogaeus,Dactylogyrus.2,0
Couesius plumbeus,Dactylogyrus.2,40
Notropis anogenus,Dactylogyrus.2,0
