source,target,weight
Lota lota,Raphidascaris,0
Pungitius pungitius,Raphidascaris,0
Stizostedion vitreum,Raphidascaris,0
Host species,Raphidascaris.1,27
Coregonus artedii,Raphidascaris.1,0
Coregonus clupeaformis,Raphidascaris.1,0
Salvelinus namaycush,Raphidascaris.1,8.6
Oncorhynchus kisutch,Raphidascaris.1,0
Esox lucius,Raphidascaris.1,0
Catostomus catostomus,Raphidascaris.1,0
Catostomus commersoni,Raphidascaris.1,0
Lota lota,Raphidascaris.1,0
Pungitius pungitius,Raphidascaris.1,0.2
Stizostedion vitreum,Raphidascaris.1,0
Host species,Haplonema,28
Coregonus artedii,Haplonema,0
Coregonus clupeaformis,Haplonema,0
Salvelinus namaycush,Haplonema,0
Oncorhynchus kisutch,Haplonema,0
Esox lucius,Haplonema,0
Catostomus catostomus,Haplonema,0
Catostomus commersoni,Haplonema,0
Lota lota,Haplonema,5.2
Pungitius pungitius,Haplonema,0
Stizostedion vitreum,Haplonema,0
Host species,Philonema,29
Coregonus artedii,Philonema,0.9
Coregonus clupeaformis,Philonema,0
Salvelinus namaycush,Philonema,0
Oncorhynchus kisutch,Philonema,16.8
Esox lucius,Philonema,0
Catostomus catostomus,Philonema,0
Catostomus commersoni,Philonema,0
Lota lota,Philonema,0
Pungitius pungitius,Philonema,0
Stizostedion vitreum,Philonema,0
Host species,Cystidicola,30
Coregonus artedii,Cystidicola,1.5
Coregonus clupeaformis,Cystidicola,76.1
Salvelinus namaycush,Cystidicola,0
Oncorhynchus kisutch,Cystidicola,4.8
Esox lucius,Cystidicola,0
Catostomus catostomus,Cystidicola,0
Catostomus commersoni,Cystidicola,0
Lota lota,Cystidicola,0
Pungitius pungitius,Cystidicola,0
Stizostedion vitreum,Cystidicola,0
Host species,Rhabdochona,31
Coregonus artedii,Rhabdochona,0
Coregonus clupeaformis,Rhabdochona,0
Salvelinus namaycush,Rhabdochona,0
Oncorhynchus kisutch,Rhabdochona,0
Esox lucius,Rhabdochona,0
Catostomus catostomus,Rhabdochona,58.3
Catostomus commersoni,Rhabdochona,8.3
Lota lota,Rhabdochona,0
Pungitius pungitius,Rhabdochona,0
Stizostedion vitreum,Rhabdochona,0
Host species,Neoechinorhynchus,32
Coregonus artedii,Neoechinorhynchus,0
Coregonus clupeaformis,Neoechinorhynchus,0
Salvelinus namaycush,Neoechinorhynchus,0
Oncorhynchus kisutch,Neoechinorhynchus,0.7
Esox lucius,Neoechinorhynchus,1.6
Catostomus catostomus,Neoechinorhynchus,0
Catostomus commersoni,Neoechinorhynchus,13.8
Lota lota,Neoechinorhynchus,0
Pungitius pungitius,Neoechinorhynchus,0
Stizostedion vitreum,Neoechinorhynchus,0
Host species,Metechinorhynchus,33
Coregonus artedii,Metechinorhynchus,32.4
Coregonus clupeaformis,Metechinorhynchus,99.5
Salvelinus namaycush,Metechinorhynchus,100
Oncorhynchus kisutch,Metechinorhynchus,99.4
Esox lucius,Metechinorhynchus,83.9
Catostomus catostomus,Metechinorhynchus,83.3
Catostomus commersoni,Metechinorhynchus,8.3
