source,target,weight
Micropterus dolomieui,Protometra,0
Micropterus salmoides,Protometra,0
Lepomis gibbosus,Protometra,1.8
Ambloplites rupestris,Protometra,0.9
Lota lota,Protometra,0
Culaea inconstans,Protometra,0
Cottus bairdi,Protometra,0
Host species,Plagioporus,18
Osmerus mordax,Plagioporus,0
Coregonus artedi,Plagioporus,0
Coregonus hoyi,Plagioporus,0
Coregonus clupeaformis,Plagioporus,0
Prosopium cylindraceum,Plagioporus,0
Oncorhynchus mykiss,Plagioporus,0
Salvelinus fontinalis,Plagioporus,0
Salvelinus namaycush,Plagioporus,0
Catostomus commersoni,Plagioporus,0.7
Catostomus catostomus,Plagioporus,0
Semotilus atromaculatus,Plagioporus,0
Rhinichthys cataractae,Plagioporus,0
Chrosomus eos,Plagioporus,0
Notropis atherinoides,Plagioporus,0
Notropis cornutus,Plagioporus,0
Notropis hudsonius,Plagioporus,0
Notropis volucellus,Plagioporus,0
Notropis heterolepis,Plagioporus,0
Pimephales notatus,Plagioporus,0
Ictalurus nebulosus,Plagioporus,0
Esox lucius,Plagioporus,0
Percopsis omiscomaycus,Plagioporus,0
Perca flavescens,Plagioporus,0
Stizostedion vitreum,Plagioporus,0
Etheostoma nigrum,Plagioporus,0
Etheostoma exile,Plagioporus,0
Micropterus dolomieui,Plagioporus,0
Micropterus salmoides,Plagioporus,0
Lepomis gibbosus,Plagioporus,0
Ambloplites rupestris,Plagioporus,0
Lota lota,Plagioporus,0
Culaea inconstans,Plagioporus,0
Cottus bairdi,Plagioporus,0
Host species,Crepidostomum,19
Osmerus mordax,Crepidostomum,0
Coregonus artedi,Crepidostomum,0
Coregonus hoyi,Crepidostomum,0
Coregonus clupeaformis,Crepidostomum,0
Prosopium cylindraceum,Crepidostomum,0
Oncorhynchus mykiss,Crepidostomum,0
Salvelinus fontinalis,Crepidostomum,0
Salvelinus namaycush,Crepidostomum,0
Catostomus commersoni,Crepidostomum,0
Catostomus catostomus,Crepidostomum,0
Semotilus atromaculatus,Crepidostomum,0
Rhinichthys cataractae,Crepidostomum,0
Chrosomus eos,Crepidostomum,0
Notropis atherinoides,Crepidostomum,0
Notropis cornutus,Crepidostomum,0
Notropis hudsonius,Crepidostomum,0
Notropis volucellus,Crepidostomum,0
Notropis heterolepis,Crepidostomum,0
Pimephales notatus,Crepidostomum,0
Ictalurus nebulosus,Crepidostomum,0
Esox lucius,Crepidostomum,0
Percopsis omiscomaycus,Crepidostomum,0
Perca flavescens,Crepidostomum,42.3
Stizostedion vitreum,Crepidostomum,0
Etheostoma nigrum,Crepidostomum,0
Etheostoma exile,Crepidostomum,0
Micropterus dolomieui,Crepidostomum,0.5
Micropterus salmoides,Crepidostomum,0
Lepomis gibbosus,Crepidostomum,1.8
Ambloplites rupestris,Crepidostomum,0.9
Lota lota,Crepidostomum,0
Culaea inconstans,Crepidostomum,0
Cottus bairdi,Crepidostomum,0
Host species,Crepidostomum.1,20
Osmerus mordax,Crepidostomum.1,0
Coregonus artedi,Crepidostomum.1,0
Coregonus hoyi,Crepidostomum.1,0
Coregonus clupeaformis,Crepidostomum.1,0
Prosopium cylindraceum,Crepidostomum.1,0
Oncorhynchus mykiss,Crepidostomum.1,0
Salvelinus fontinalis,Crepidostomum.1,0
Salvelinus namaycush,Crepidostomum.1,0
Catostomus commersoni,Crepidostomum.1,0
